class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Upright,0.615544677,0.430895388,-0.88772428,0.999921858,0.644452631,0.360386729,-0.811046422,0.999839544,0.662150264,0.362933099,-0.81107682,0.999848366,0.681116581,0.366979003,-0.811442077,0.999826968,0.577320457,0.359383434,-0.820295632,0.999873221,0.553302944,0.362744957,-0.819306672,0.999898016,0.53290838,0.367646486,-0.81970042,0.999905944,0.703972578,0.417932183,-0.400693029,0.99974376,0.500300229,0.418660522,-0.41329065,0.999922931,0.655175328,0.527742982,-0.740644991,0.999900818,0.575933397,0.5210765,-0.745835423,0.999940276,0.864750981,0.911152661,-0.212971956,0.997476995,0.305595547,0.887765527,-0.351923466,0.99954915,0.922987759,1.425654292,-0.186408833,0.07187058,0.167189807,1.386265635,-0.325473577,0.484538585,0.904651761,1.78014946,-0.452435911,0.013884078,0.22053805,1.749770284,-0.813737869,0.102533937,0.927814007,1.949262619,-0.554082036,0.019808387,0.202437282,1.87823379,-0.940749824,0.097725801,0.876155019,1.942135096,-0.599855244,0.032295652,0.261407733,1.866752386,-1.016934872,0.145697504,0.856983066,1.882506132,-0.492473274,0.032924395,0.276668549,1.81331408,-0.861211956,0.136870638,0.744291127,1.821155667,-0.049703244,0.00114411,0.376131237,1.811092019,0.054864354,0.001437458,0.712859154,2.596595526,-0.03489808,0.000634021,0.388697565,2.587550402,0.114655934,0.000408294,0.700683713,3.286323547,0.727842569,0.000213331,0.393305182,3.270721912,0.630983949,3.20E-05,0.706116915,3.397397757,0.762220144,0.000154912,0.383279324,3.382246256,0.665931106,8.96E-05,0.651399851,3.507969141,0.096460208,0.000173924,0.43833518,3.488770247,-0.060172241,0.000191958
Upright,0.614974976,0.431501687,-0.884165764,0.999924362,0.644367278,0.361593813,-0.807729542,0.999844909,0.662150502,0.364682108,-0.807759583,0.999852777,0.6811167,0.369221359,-0.808076084,0.99983263,0.576905012,0.359734267,-0.81597805,0.99987793,0.552922845,0.362946421,-0.814980686,0.999901474,0.532462716,0.367791682,-0.815336049,0.99990952,0.704154611,0.421074927,-0.391705543,0.999751508,0.499673456,0.419052422,-0.401376635,0.999925792,0.655059934,0.528923869,-0.734864175,0.999903679,0.575370967,0.521843672,-0.738740325,0.999942243,0.86121434,0.908946574,-0.192732304,0.997527719,0.305061042,0.885793507,-0.342438996,0.999562502,0.924096942,1.418597937,-0.162504762,0.071661361,0.171016932,1.386045814,-0.364060104,0.486677706,0.906700611,1.77927196,-0.451205552,0.014162689,0.251754642,1.726361513,-0.921555519,0.106270552,0.931320012,1.931432486,-0.543007672,0.020331964,0.242625996,1.85048449,-1.062481523,0.101309724,0.879699826,1.917932987,-0.597401261,0.033101927,0.300016135,1.822724819,-1.132777572,0.150213808,0.860004783,1.861370802,-0.487871647,0.033926848,0.312386066,1.773054004,-0.966822505,0.14134483,0.742100954,1.81595552,-0.049915854,0.00115278,0.376128614,1.80925262,0.055077344,0.00146353,0.714070559,2.588911295,-0.044638537,0.000618439,0.390774906,2.58607626,0.106132627,0.000400565,0.703642249,3.281183958,0.65254283,0.000214778,0.396820962,3.270108938,0.597596526,3.17E-05,0.709202409,3.390696764,0.677614093,0.00015739,0.386937857,3.381345987,0.628800869,8.95E-05,0.6556077,3.503502607,0.010273753,0.000172132,0.443323135,3.486843586,-0.100895405,0.000191927
Upright,0.614975035,0.431571841,-0.863681614,0.99992317,0.644458473,0.361608118,-0.79014194,0.999843001,0.662252903,0.36467573,-0.790141702,0.999850333,0.681227684,0.369186223,-0.790519834,0.999831438,0.576970816,0.359715968,-0.798353136,0.99987632,0.552927792,0.36285457,-0.79733175,0.999899268,0.532451093,0.367603123,-0.797679603,0.99990809,0.704167247,0.420721114,-0.382980943,0.999747992,0.499684662,0.418766439,-0.393348455,0.999923587,0.655004084,0.529049933,-0.716915488,0.999901772,0.575333238,0.521863103,-0.720707059,0.999940991,0.861233532,0.908454597,-0.193049997,0.997548044,0.304352313,0.884019434,-0.341320127,0.999562681,0.923195481,1.41923511,-0.159587264,0.070994072,0.17788291,1.386191845,-0.351445109,0.478099018,0.906371474,1.777559996,-0.422851235,0.013710376,0.255304426,1.726505876,-0.852927506,0.10304907,0.931047559,1.932075858,-0.512763381,0.01977977,0.243289188,1.850704551,-0.974165142,0.098617129,0.87868917,1.918570638,-0.558835566,0.03229326,0.299811602,1.823286414,-1.042836428,0.146431282,0.85922271,1.861634612,-0.457485288,0.033138607,0.313319981,1.77366209,-0.895729244,0.13794519,0.738282979,1.816380262,-0.050207853,0.001132698,0.37462756,1.808789849,0.05535851,0.001443805,0.713173211,2.588767529,-0.03868952,0.000603272,0.389962643,2.585144758,0.101104364,0.000391951,0.702326179,3.281021833,0.663929582,0.000209816,0.394665778,3.269597292,0.582638502,3.09E-05,0.707679808,3.390553713,0.692267537,0.00015482,0.384561509,3.380900383,0.612290502,8.75E-05,0.654380918,3.50323987,0.043900404,0.000168385,0.441164404,3.485923529,-0.113647774,0.000187181
Upright,0.614943624,0.431612402,-0.846948028,0.999921679,0.644464672,0.361612678,-0.775276124,0.999840617,0.662256837,0.364649683,-0.775268376,0.999847651,0.681232274,0.36911869,-0.775667191,0.999829948,0.576968908,0.359704703,-0.783607006,0.999874413,0.552918077,0.362799764,-0.782591939,0.999896884,0.532435954,0.367496878,-0.782942772,0.999906421,0.70414573,0.420336634,-0.374865115,0.999744952,0.499680579,0.418616027,-0.385898411,0.999921381,0.654880226,0.529141784,-0.702022672,0.999899745,0.575234473,0.521869898,-0.705921054,0.99993962,0.861318409,0.908188581,-0.192378432,0.997575998,0.303763747,0.882680118,-0.339898735,0.999563396,0.922772765,1.419443011,-0.157117262,0.070793599,0.18139711,1.386196375,-0.342754304,0.471358716,0.906085789,1.77613771,-0.408560604,0.013323911,0.256228358,1.726745486,-0.806975484,0.100136265,0.930313885,1.932186484,-0.498297602,0.019305263,0.24277696,1.851050973,-0.923604965,0.096175566,0.877220929,1.918617845,-0.542300284,0.031595118,0.298828304,1.824692965,-0.993130088,0.142955408,0.858093143,1.861668468,-0.442921549,0.032468475,0.312901378,1.774932981,-0.849641919,0.134875834,0.735919118,1.81660378,-0.050203502,0.001123185,0.373628587,1.808513641,0.05535198,0.001437569,0.712795079,2.588563681,-0.035017949,0.000593304,0.389635175,2.584454775,0.0990621,0.000387333,0.701985419,3.280864716,0.664149404,0.000205793,0.394045591,3.269192696,0.58159095,3.05E-05,0.707240045,3.390434265,0.693127811,0.000153172,0.383956194,3.380553007,0.610343158,8.62E-05,0.654200613,3.503060579,0.051021777,0.000165712,0.440502346,3.48522687,-0.122371629,0.000183356
Upright,0.614859104,0.433105946,-0.855094731,0.999920905,0.644473672,0.363407254,-0.786612391,0.999840021,0.6622684,0.366556317,-0.786588848,0.999846637,0.681267858,0.371147841,-0.786882818,0.999829352,0.577021956,0.360754102,-0.797002256,0.999873877,0.552949786,0.363495022,-0.795975685,0.999896049,0.532460809,0.367934048,-0.796337008,0.999905705,0.704156816,0.421894759,-0.382807136,0.99974364,0.499688804,0.418685347,-0.404912889,0.999920309,0.654229403,0.53052336,-0.707663357,0.999898672,0.574900329,0.523207903,-0.715884745,0.999938846,0.858894467,0.90815419,-0.192940548,0.997587323,0.302126586,0.880760491,-0.34974131,0.99956125,0.916159153,1.418812633,-0.13969703,0.070147686,0.180479854,1.372829676,-0.36897254,0.463907152,0.903723121,1.761362076,-0.365963697,0.013300003,0.244126171,1.720865726,-0.855367959,0.09879005,0.924553096,1.890218019,-0.45428744,0.019420477,0.224754721,1.845532537,-0.985154748,0.0954457,0.876329064,1.894476175,-0.510168612,0.031827863,0.283056676,1.824021101,-1.057718754,0.141993061,0.855687261,1.852757573,-0.407146126,0.032661069,0.299950153,1.773937821,-0.902026474,0.133892104,0.727003872,1.8109231,-0.049073085,0.001111499,0.369567484,1.798577666,0.054208744,0.001421049,0.699796855,2.574428082,-0.048746016,0.000593078,0.379639059,2.566199064,0.073136725,0.000383963,0.681854606,3.268843889,0.621173143,0.000203964,0.377947867,3.250682354,0.517314732,3.01E-05,0.684804976,3.378167152,0.647720873,0.000152461,0.36835438,3.362771273,0.543058753,8.50E-05,0.633967459,3.487534761,0.003736209,0.000167096,0.420631409,3.457699299,-0.175259858,0.00018314
Upright,0.614798903,0.434718519,-0.863247573,0.999918044,0.644471824,0.365146637,-0.791960001,0.999835372,0.662266016,0.368265033,-0.791954935,0.999842286,0.681273043,0.372838825,-0.792263567,0.999824822,0.577053368,0.362063557,-0.801864028,0.999870241,0.552970171,0.364498883,-0.800832391,0.99989301,0.532476306,0.368687481,-0.801192641,0.999902785,0.704155862,0.422924131,-0.385745108,0.999736011,0.499689013,0.418826014,-0.406060159,0.99991709,0.653768241,0.531701446,-0.715368867,0.999894977,0.57471776,0.524547338,-0.722418606,0.999936283,0.85762918,0.907613516,-0.192178518,0.997600913,0.301411659,0.878951728,-0.348071367,0.999563277,0.91327256,1.414572239,-0.122823194,0.070393108,0.18040809,1.364149451,-0.366052449,0.462337136,0.900001049,1.751602054,-0.339402825,0.013472188,0.240833789,1.715159297,-0.846195817,0.097986214,0.91985178,1.871083736,-0.424015373,0.019615985,0.22040014,1.840536118,-0.974868894,0.094587177,0.874532878,1.869655013,-0.4824875,0.032104354,0.278366417,1.822117329,-1.048562765,0.140612662,0.855832696,1.830985427,-0.381522715,0.032937236,0.295572042,1.771576524,-0.892824054,0.132607922,0.734926999,1.789292812,-0.049161877,0.001133675,0.368185461,1.789465547,0.054273672,0.001450044,0.69441545,2.562523365,-0.074100494,0.000586583,0.3752684,2.550647736,0.073181197,0.000379751,0.671586394,3.255794048,0.571564317,0.000204443,0.367854089,3.235596418,0.515829444,3.02E-05,0.673907876,3.36392951,0.596447468,0.000154889,0.35730955,3.348131657,0.541724861,8.59E-05,0.622086227,3.473733187,-0.053170346,0.000169602,0.409192383,3.440173388,-0.175006241,0.000185277
Upright,0.612891436,0.435050517,-0.86920625,0.999919653,0.643874347,0.365517348,-0.796847582,0.999838352,0.661947608,0.368649125,-0.796858728,0.999845147,0.681068301,0.373206437,-0.797181666,0.9998281,0.575545847,0.362290382,-0.806197822,0.999873102,0.551608682,0.364663541,-0.805175483,0.999895394,0.531472862,0.368817776,-0.805537343,0.99990505,0.704186618,0.423009545,-0.388095111,0.999739945,0.499581516,0.418837219,-0.405167282,0.999919236,0.652745187,0.531930089,-0.720466316,0.999897003,0.573160768,0.524704754,-0.726769686,0.999937654,0.859678745,0.907938957,-0.192128032,0.997630656,0.301427424,0.879457772,-0.348337471,0.999577224,0.917661965,1.415357232,-0.123156235,0.069884419,0.186346069,1.374468088,-0.330406249,0.466499925,0.901915193,1.758615613,-0.367114156,0.013093401,0.2459791,1.724780679,-0.7532354,0.098282859,0.922254682,1.876766324,-0.460948229,0.019087,0.22657299,1.849931598,-0.876441181,0.094294399,0.881456196,1.873839021,-0.514835596,0.031305656,0.282866567,1.832479835,-0.95380497,0.140306279,0.855858028,1.834743738,-0.409348726,0.03216102,0.299719006,1.7811625,-0.798955798,0.132274508,0.735510468,1.795454741,-0.049032919,0.001132967,0.371557444,1.792317152,0.054136444,0.001459725,0.69930023,2.565357924,-0.073160887,0.000581569,0.380087674,2.555139303,0.073141165,0.00037511,0.681245267,3.257792234,0.574040771,0.000204875,0.378103912,3.239726543,0.517026186,2.98E-05,0.684874773,3.366785765,0.601578355,0.000157831,0.368432254,3.352313757,0.543333471,8.52E-05,0.63381505,3.47519803,-0.032809924,0.000169381,0.422511876,3.444761038,-0.174753278,0.000184099
Upright,0.6119982,0.435342491,-0.87241888,0.999920964,0.643617034,0.365803838,-0.799276114,0.999840677,0.661827743,0.368946582,-0.799302399,0.999847353,0.681007266,0.373496234,-0.799637735,0.999830604,0.57487762,0.362464935,-0.807863891,0.999875367,0.551005363,0.364787579,-0.806845188,0.999897301,0.53102988,0.368909061,-0.807210565,0.999906957,0.704268157,0.423094153,-0.389520943,0.999742866,0.499550194,0.41884172,-0.402456045,0.999920905,0.652182341,0.532178819,-0.723566473,0.999898434,0.572470963,0.524869025,-0.728740633,0.999938667,0.861783028,0.908573449,-0.191861182,0.997643709,0.301456749,0.879798949,-0.348708391,0.999587595,0.922569931,1.416559815,-0.127298862,0.069254316,0.191343442,1.381821871,-0.314903975,0.46900031,0.903723836,1.763528824,-0.397061765,0.012717357,0.249922082,1.732430935,-0.7324543,0.098565586,0.923666358,1.900274277,-0.496214002,0.018588847,0.230874807,1.857638597,-0.856706798,0.094225101,0.88561964,1.881210327,-0.548573375,0.03057307,0.286480457,1.841052771,-0.934416592,0.140432924,0.856060624,1.840016127,-0.439727396,0.031438742,0.303255767,1.789284587,-0.778299272,0.132302389,0.735971332,1.8013345,-0.04898335,0.001124099,0.373589993,1.795483947,0.054086942,0.001457811,0.702883422,2.569402218,-0.072556578,0.000579184,0.383334041,2.560178995,0.073134214,0.000371829,0.688204885,3.260988474,0.575627267,0.000204729,0.385082513,3.244452953,0.517727017,2.95E-05,0.69275862,3.37075448,0.605330884,0.000160091,0.376059651,3.357059717,0.54433769,8.44E-05,0.640991271,3.478411913,-0.020941017,0.000168833,0.430824757,3.450567961,-0.174375042,0.000182553
Upright,0.611856401,0.43565467,-0.849953532,0.999924839,0.643510699,0.366012484,-0.780176759,0.999849141,0.661663651,0.369040757,-0.780092478,0.999855042,0.68086803,0.373534471,-0.780318439,0.999839544,0.57467401,0.363084197,-0.785678208,0.999881804,0.550732017,0.365507334,-0.784687698,0.999902129,0.530813813,0.369710565,-0.7849738,0.999911368,0.704262555,0.423166394,-0.385361016,0.999756455,0.499382257,0.419782221,-0.389547437,0.999925017,0.652169108,0.532368243,-0.707952738,0.999903262,0.572453141,0.525127292,-0.709142804,0.999941707,0.863508344,0.909969211,-0.194653198,0.997748435,0.301769316,0.881308734,-0.344904989,0.999600768,0.923489392,1.421099186,-0.194018334,0.069170542,0.19139795,1.38184762,-0.3953574,0.463911146,0.904711425,1.765032053,-0.509204626,0.013269763,0.249628276,1.732476473,-0.961188614,0.100816935,0.9263919,1.919558287,-0.623111844,0.019739101,0.229647785,1.857798338,-1.104509473,0.097388424,0.88548553,1.897788167,-0.676665783,0.032516822,0.28631717,1.84092176,-1.169688344,0.144916669,0.857015014,1.850263357,-0.55370909,0.033524435,0.30321008,1.789275527,-1.007365584,0.136933193,0.73771596,1.807567954,-0.04807106,0.001180711,0.376931429,1.801071405,0.053217538,0.001546525,0.712007165,2.572316408,-0.010805429,0.000570384,0.392529666,2.56417799,0.084826514,0.000362412,0.705908895,3.261585474,0.714194775,0.000200442,0.399920285,3.244817257,0.577624321,2.81E-05,0.711297631,3.371026278,0.748920858,0.000156965,0.392085373,3.356884718,0.611563802,7.96E-05,0.662796795,3.478780508,0.125504792,0.000165426,0.4470976,3.450895071,-0.089954391,0.000175031
Upright,0.612240791,0.437062085,-0.87716496,0.999921203,0.643681049,0.366536468,-0.805360138,0.999840021,0.661967158,0.36948356,-0.805312812,0.999845803,0.681232572,0.373883188,-0.80556041,0.999830186,0.57492888,0.363885522,-0.815183043,0.999875426,0.551038802,0.366383612,-0.814278305,0.999896348,0.531032741,0.370530784,-0.81467402,0.99990654,0.705058157,0.423318386,-0.394712597,0.999738693,0.499432623,0.420050651,-0.411281437,0.999920547,0.652493775,0.53454119,-0.727766335,0.99989748,0.573136806,0.527049184,-0.733065605,0.999938309,0.863203824,0.910329819,-0.196949139,0.997687519,0.301196754,0.882494688,-0.359551102,0.999593794,0.923572063,1.41972363,-0.16996339,0.069555141,0.192846388,1.382936835,-0.316763818,0.459681839,0.901477218,1.775777221,-0.456775486,0.013055979,0.250271857,1.733061075,-0.685377479,0.101501137,0.923052311,1.922588229,-0.555123687,0.019587805,0.230371088,1.857990265,-0.798103571,0.098581843,0.876104236,1.902074814,-0.606318772,0.032348257,0.286282092,1.841764331,-0.882865131,0.146684602,0.853247762,1.851183176,-0.498905897,0.03336601,0.30316025,1.790460587,-0.732851446,0.138889417,0.737521052,1.809864759,-0.04812225,0.001123278,0.376924694,1.80321157,0.053261358,0.001475648,0.711927593,2.576191664,-0.016717885,0.000545452,0.39232403,2.567896605,0.084154084,0.000345874,0.705512166,3.266380072,0.702697992,0.000194616,0.399652839,3.250907421,0.572731137,2.71E-05,0.710659385,3.375608206,0.735770106,0.000153594,0.391705245,3.362577677,0.605967879,7.66E-05,0.662195563,3.483347416,0.100259878,0.000162565,0.447405159,3.456783533,-0.103199348,0.000169739
